headline,is_sarcastic
faisal islam: iran war pause is welcome but the economic scars will last,0
scientists pinpoint exact age when doing your best no longer good enough,1
iran has been consistent in war. will it be consistent in peace talks?,0
"u.s. legal scholars baffled as prince andrew arrested for epstein ties, korean president sentenced for insurrection",1
the “so much for global warming” guy at work is having a hell of a month,1
barbershop customer a little worried after seeing huge chunk of ear hit floor,1
dancer with mnd performs on stage again through digital avatar,0
poilievre returns to his emotional support culture war,1
"max scherzer re-signs with blues jays for chance to win, get even with guy who cut him off on dvp",1
woman wondering if she ‘might’ own too many cushions,1
here’s the story of the brady bunch house,0
"in hungary, upcoming elections could bring an end to orban's 16-year rule",0
"china is winning one ai race, the us another - but either might pull ahead",0
have you used a.i. chatbots for nutrition advice?,0
oil companies to build giant sun blocker after surge in solar panel sales,1
'it's a special thing to be on planet earth': artemis crew welcomed home in houston,0
"‘we don’t protect our own schools from guns, so why would we protect foreign schools from missiles?’ explains us",1
galactic confederation on high alert after moron-infested planet shows increasing desire to infest other worlds,1
“pierre is the conservative party’s justin trudeau” reads tearful poilievre in cpc men’s room,1
more than 200 arrests at palestine action protest,0
trump urges uk to send ships to war he apparently won weeks ago,1
there are few public details about the high-level talks — not even the timing.,0
